RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Latitude,Longitude,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,AvgWages,Notes
9017,10940,STANDARD,MIDDLETOWN,NY,PRIMARY,41.44,-74.42,0.2,-0.72,0.66,NA,US,"Middletown, NY",NA-US-NY-MIDDLETOWN,FALSE,21255,36707,830370128,22621.6,
9020,10941,STANDARD,MIDDLETOWN,NY,PRIMARY,41.44,-74.42,0.2,-0.72,0.66,NA,US,"Middletown, NY",NA-US-NY-MIDDLETOWN,FALSE,6539,11451,299545279,26158.9,
9025,12545,STANDARD,MILLBROOK,NY,PRIMARY,41.78,-73.69,0.2,-0.71,0.66,NA,US,"Millbrook, NY",NA-US-NY-MILLBROOK,FALSE,2252,3767,144293819,38304.7,
9026,12546,STANDARD,MILLERTON,NY,PRIMARY,41.95,-73.51,0.21,-0.71,0.66,NA,US,"Millerton, NY",NA-US-NY-MILLERTON,FALSE,1475,2454,59810413,24372.6,
9027,10546,STANDARD,MILLWOOD,NY,PRIMARY,41.19,-73.79,0.2,-0.72,0.65,NA,US,"Millwood, NY",NA-US-NY-MILLWOOD,FALSE,754,1370,79599170,58101.6,
9028,12547,STANDARD,MILTON,NY,PRIMARY,41.65,-73.96,0.2,-0.71,0.66,NA,US,"Milton, NY",NA-US-NY-MILTON,FALSE,1330,2371,62449345,26338.8,
9029,12548,STANDARD,MODENA,NY,PRIMARY,41.64,-74.1,0.2,-0.71,0.66,NA,US,"Modena, NY",NA-US-NY-MODENA,FALSE,806,1397,35310365,25275.9,
9030,10547,STANDARD,MOHEGAN LAKE,NY,PRIMARY,41.31,-73.84,0.2,-0.72,0.66,NA,US,"Mohegan Lake, NY",NA-US-NY-MOHEGAN LAKE,FALSE,3425,6139,204201847,33263,
9032,12762,STANDARD,MONGAUP VALLEY,NY,PRIMARY,41.66,-74.78,0.19,-0.72,0.66,NA,US,"Mongaup Valley, NY",NA-US-NY-MONGAUP VALLEY,FALSE,275,460,8417447,18298.8,
9034,10949,PO BOX,MONROE,NY,PRIMARY,41.33,-74.19,0.2,-0.72,0.66,NA,US,"Monroe, NY",NA-US-NY-MONROE,FALSE,357,600,18001683,30002.8,"no NWS data,"
9035,10950,STANDARD,MONROE,NY,PRIMARY,41.32,-74.18,0.2,-0.72,0.66,NA,US,"Monroe, NY",NA-US-NY-MONROE,FALSE,15249,31099,794108919,25534.9,
9038,10952,STANDARD,MONSEY,NY,PRIMARY,41.11,-74.06,0.2,-0.72,0.65,NA,US,"Monsey, NY",NA-US-NY-MONSEY,FALSE,11482,23954,539509378,22522.7,
9044,12549,STANDARD,MONTGOMERY,NY,PRIMARY,41.52,-74.23,0.2,-0.72,0.66,NA,US,"Montgomery, NY",NA-US-NY-MONTGOMERY,FALSE,4785,8716,246342566,28263.3,
9045,12701,STANDARD,MONTICELLO,NY,PRIMARY,41.65,-74.68,0.19,-0.72,0.66,NA,US,"Monticello, NY",NA-US-NY-MONTICELLO,FALSE,4594,7784,127844942,16424.1,
9046,12777,STANDARD,FORESTBURGH,NY,PRIMARY,41.54,-74.69,0.19,-0.72,0.66,NA,US,"Forestburgh, NY",NA-US-NY-FORESTBURGH,FALSE,369,613,15767040,25721.1,
9049,10548,STANDARD,MONTROSE,NY,PRIMARY,41.24,-73.94,0.2,-0.72,0.65,NA,US,"Montrose, NY",NA-US-NY-MONTROSE,FALSE,1473,2607,91164579,34969.2,
9050,12763,STANDARD,MOUNTAIN DALE,NY,PRIMARY,41.68,-74.53,0.19,-0.71,0.66,NA,US,"Mountain Dale, NY",NA-US-NY-MOUNTAIN DALE,FALSE,388,666,12843949,19285.2,
9053,10549,STANDARD,MOUNT KISCO,NY,PRIMARY,41.2,-73.73,0.21,-0.72,0.65,NA,US,"Mount Kisco, NY",NA-US-NY-MOUNT KISCO,FALSE,8010,13969,772124804,55274.2,
9056,12456,STANDARD,MOUNT MARION,NY,PRIMARY,42.03,-74,0.2,-0.71,0.66,NA,US,"Mount Marion, NY",NA-US-NY-MOUNT MARION,FALSE,427,734,13549136,18459.3,
9058,12457,STANDARD,MOUNT TREMPER,NY,PRIMARY,42.04,-74.23,0.2,-0.71,0.66,NA,US,"Mount Tremper, NY",NA-US-NY-MOUNT TREMPER,FALSE,339,564,11402502,20217.2,
9059,10550,STANDARD,MOUNT VERNON,NY,PRIMARY,40.91,-73.82,0.21,-0.72,0.65,NA,US,"Mount Vernon, NY",NA-US-NY-MOUNT VERNON,FALSE,16411,26875,517544332,19257.5,
9060,10551,PO BOX,MOUNT VERNON,NY,PRIMARY,40.91,-73.82,0.21,-0.72,0.65,NA,US,"Mount Vernon, NY",NA-US-NY-MOUNT VERNON,FALSE,434,640,13969429,21827.2,
9061,10552,STANDARD,MOUNT VERNON,NY,PRIMARY,40.91,-73.82,0.21,-0.72,0.65,NA,US,"Mount Vernon, NY",NA-US-NY-MOUNT VERNON,FALSE,10238,16046,555930538,34646.1,
9064,10553,STANDARD,MOUNT VERNON,NY,PRIMARY,40.91,-73.82,0.21,-0.72,0.65,NA,US,"Mount Vernon, NY",NA-US-NY-MOUNT VERNON,FALSE,5294,8512,209161049,24572.5,
9066,10954,STANDARD,NANUET,NY,PRIMARY,41.09,-74.01,0.2,-0.72,0.65,NA,US,"Nanuet, NY",NA-US-NY-NANUET,FALSE,11852,20221,686260006,33938,
9068,12458,STANDARD,NAPANOCH,NY,PRIMARY,41.75,-74.37,0.2,-0.71,0.66,NA,US,"Napanoch, NY",NA-US-NY-NAPANOCH,FALSE,1117,1907,33887722,17770.2,
9069,12764,STANDARD,NARROWSBURG,NY,PRIMARY,41.6,-75.06,0.19,-0.72,0.66,NA,US,"Narrowsburg, NY",NA-US-NY-NARROWSBURG,FALSE,773,1300,22315129,17165.5,
9070,12765,STANDARD,NEVERSINK,NY,PRIMARY,41.84,-74.61,0.19,-0.71,0.66,NA,US,"Neversink, NY",NA-US-NY-NEVERSINK,FALSE,454,818,18716268,22880.5,
9071,12550,STANDARD,NEWBURGH,NY,PRIMARY,41.5,-74.02,0.2,-0.71,0.66,NA,US,"Newburgh, NY",NA-US-NY-NEWBURGH,FALSE,24019,41479,944182378,22762.9,
9074,12551,PO BOX,NEWBURGH,NY,PRIMARY,41.5,-74.02,0.2,-0.71,0.66,NA,US,"Newburgh, NY",NA-US-NY-NEWBURGH,FALSE,574,934,15754557,16867.8,
9076,12553,STANDARD,NEW WINDSOR,NY,PRIMARY,41.47,-74.02,0.2,-0.72,0.66,NA,US,"New Windsor, NY",NA-US-NY-NEW WINDSOR,FALSE,11513,20131,552402536,27440.4,
9078,10956,STANDARD,NEW CITY,NY,PRIMARY,41.15,-73.99,0.2,-0.72,0.65,NA,US,"New City, NY",NA-US-NY-NEW CITY,FALSE,15783,28938,1187401437,41032.6,
9080,10958,STANDARD,NEW HAMPTON,NY,PRIMARY,41.34,-74.45,0.2,-0.72,0.66,NA,US,"New Hampton, NY",NA-US-NY-NEW HAMPTON,FALSE,1561,2845,78324367,27530.5,
9083,12561,STANDARD,NEW PALTZ,NY,PRIMARY,41.74,-74.08,0.2,-0.71,0.66,NA,US,"New Paltz, NY",NA-US-NY-NEW PALTZ,FALSE,6999,11547,302822801,26225.2,
9084,10801,STANDARD,NEW ROCHELLE,NY,PRIMARY,40.92,-73.77,0.21,-0.72,0.65,NA,US,"New Rochelle, NY",NA-US-NY-NEW ROCHELLE,FALSE,17269,29299,827407070,28240.1,
9085,10802,PO BOX,NEW ROCHELLE,NY,PRIMARY,40.92,-73.77,0.21,-0.72,0.65,NA,US,"New Rochelle, NY",NA-US-NY-NEW ROCHELLE,FALSE,294,459,10470609,22811.8,
9086,10803,STANDARD,PELHAM,NY,PRIMARY,40.91,-73.8,0.21,-0.72,0.65,NA,US,"Pelham, NY",NA-US-NY-PELHAM,FALSE,6020,11015,734596576,66690.6,
9089,10804,STANDARD,NEW ROCHELLE,NY,PRIMARY,40.94,-73.78,0.21,-0.72,0.65,NA,US,"New Rochelle, NY",NA-US-NY-NEW ROCHELLE,FALSE,7353,13257,842946805,63585,
9091,10805,STANDARD,NEW ROCHELLE,NY,PRIMARY,40.92,-73.77,0.21,-0.72,0.65,NA,US,"New Rochelle, NY",NA-US-NY-NEW ROCHELLE,FALSE,8742,13977,414885447,29683.4,
9093,10560,STANDARD,NORTH SALEM,NY,PRIMARY,41.33,-73.59,0.21,-0.72,0.66,NA,US,"North Salem, NY",NA-US-NY-NORTH SALEM,FALSE,2123,3819,228080238,59722.5,
9094,10960,STANDARD,NYACK,NY,PRIMARY,41.09,-73.91,0.2,-0.72,0.65,NA,US,"Nyack, NY",NA-US-NY-NYACK,FALSE,7515,11889,459000954,38607.2,
9107,12461,STANDARD,OLIVEBRIDGE,NY,PRIMARY,41.89,-74.24,0.2,-0.71,0.66,NA,US,"Olivebridge, NY",NA-US-NY-OLIVEBRIDGE,FALSE,796,1374,27394914,19938.1,
9111,10962,STANDARD,ORANGEBURG,NY,PRIMARY,41.05,-73.94,0.2,-0.72,0.65,NA,US,"Orangeburg, NY",NA-US-NY-ORANGEBURG,FALSE,2520,4396,179259875,40778,
9112,10562,STANDARD,OSSINING,NY,PRIMARY,41.15,-73.87,0.2,-0.72,0.65,NA,US,"Ossining, NY",NA-US-NY-OSSINING,FALSE,14310,24284,806876363,33226.7,
9115,10963,STANDARD,OTISVILLE,NY,PRIMARY,41.47,-74.53,0.19,-0.72,0.66,NA,US,"Otisville, NY",NA-US-NY-OTISVILLE,FALSE,1235,2227,56911349,25555.2,
9116,12463,STANDARD,PALENVILLE,NY,PRIMARY,42.17,-74.01,0.2,-0.71,0.67,NA,US,"Palenville, NY",NA-US-NY-PALENVILLE,FALSE,735,1231,27020526,21950.1,
9117,10964,STANDARD,PALISADES,NY,PRIMARY,41,-73.91,0.2,-0.72,0.65,NA,US,"Palisades, NY",NA-US-NY-PALISADES,FALSE,744,1300,58509576,45007.4,
9118,12768,STANDARD,PARKSVILLE,NY,PRIMARY,41.85,-74.76,0.19,-0.71,0.66,NA,US,"Parksville, NY",NA-US-NY-PARKSVILLE,FALSE,446,763,15041240,19713.3,
9119,12563,STANDARD,PATTERSON,NY,PRIMARY,41.5,-73.58,0.21,-0.71,0.66,NA,US,"Patterson, NY",NA-US-NY-PATTERSON,FALSE,3513,6286,186632821,29690.2,
9120,12564,STANDARD,PAWLING,NY,PRIMARY,41.56,-73.59,0.21,-0.71,0.66,NA,US,"Pawling, NY",NA-US-NY-PAWLING,FALSE,3344,5933,185634365,31288.4,
9121,10965,STANDARD,PEARL RIVER,NY,PRIMARY,41.06,-74,0.2,-0.72,0.65,NA,US,"Pearl River, NY",NA-US-NY-PEARL RIVER,FALSE,7453,13258,448316015,33814.8,
9123,10566,STANDARD,PEEKSKILL,NY,PRIMARY,41.28,-73.92,0.2,-0.72,0.65,NA,US,"Peekskill, NY",NA-US-NY-PEEKSKILL,FALSE,11500,18979,508348434,26784.8,
9124,10567,STANDARD,CORTLANDT MANOR,NY,PRIMARY,41.3,-73.89,0.2,-0.72,0.66,NA,US,"Cortlandt Manor, NY",NA-US-NY-CORTLANDT MANOR,FALSE,9211,17127,685636447,40032.5,
9127,12565,STANDARD,PHILMONT,NY,PRIMARY,42.24,-73.64,0.2,-0.71,0.67,NA,US,"Philmont, NY",NA-US-NY-PHILMONT,FALSE,863,1474,25097430,17026.8,
9128,12464,STANDARD,PHOENICIA,NY,PRIMARY,42.08,-74.31,0.2,-0.71,0.67,NA,US,"Phoenicia, NY",NA-US-NY-PHOENICIA,FALSE,520,816,13164275,16132.7,
9129,10968,STANDARD,PIERMONT,NY,PRIMARY,41.03,-73.91,0.2,-0.72,0.65,NA,US,"Piermont, NY",NA-US-NY-PIERMONT,FALSE,1245,1945,93922952,48289.4,
9131,12566,STANDARD,PINE BUSH,NY,PRIMARY,41.6,-74.29,0.2,-0.71,0.66,NA,US,"Pine Bush, NY",NA-US-NY-PINE BUSH,FALSE,4736,8638,217867213,25222,
9133,10969,STANDARD,PINE ISLAND,NY,PRIMARY,41.32,-74.38,0.2,-0.72,0.66,NA,US,"Pine Island, NY",NA-US-NY-PINE ISLAND,FALSE,623,1106,27734147,25076.1,
9134,12567,STANDARD,PINE PLAINS,NY,PRIMARY,41.97,-73.65,0.2,-0.71,0.66,NA,US,"Pine Plains, NY",NA-US-NY-PINE PLAINS,FALSE,1361,2338,62320753,26655.6,
9138,12568,PO BOX,PLATTEKILL,NY,PRIMARY,41.62,-74.08,0.2,-0.71,0.66,NA,US,"Plattekill, NY",NA-US-NY-PLATTEKILL,FALSE,564,977,17553666,17966.9,
9139,12569,STANDARD,PLEASANT VALLEY,NY,PRIMARY,41.74,-73.82,0.2,-0.71,0.66,NA,US,"Pleasant Valley, NY",NA-US-NY-PLEASANT VALLEY,FALSE,4885,8610,246763966,28660.2,
9141,10570,STANDARD,PLEASANTVILLE,NY,PRIMARY,41.13,-73.78,0.21,-0.72,0.65,NA,US,"Pleasantville, NY",NA-US-NY-PLEASANTVILLE,FALSE,6068,10970,584642468,53294.7,
9142,10970,STANDARD,POMONA,NY,PRIMARY,41.18,-74.05,0.2,-0.72,0.65,NA,US,"Pomona, NY",NA-US-NY-POMONA,FALSE,4913,8344,290279678,34789,
9145,10573,STANDARD,PORT CHESTER,NY,PRIMARY,41,-73.66,0.21,-0.72,0.65,NA,US,"Port Chester, NY",NA-US-NY-PORT CHESTER,FALSE,17624,30334,1069870913,35269.7,
9148,12466,STANDARD,PORT EWEN,NY,PRIMARY,41.9,-73.97,0.2,-0.71,0.66,NA,US,"Port Ewen, NY",NA-US-NY-PORT EWEN,FALSE,1610,2628,61303333,23327,
